"MAPPED_TRAIT_URI","n","weighted_n","nhits","weighted_nhits","weighted_attention_score_impact_factor","DISEASE_TRAIT","GBD term","EFO_number"
"mondo0015926",3,0.509302325581395,3,1.5,2.03651162790698,"Pneumoconiosis in silica exposure","Pneumoconiosis","EFO 1"
"mondo0018076",36,19.4138846150234,160,116.166666666667,188.931498841168,"Tuberculosis susceptibility in HIV infection","Tuberculosis","EFO 1"
"mondo0021108",1,0.142857142857143,8,1.14285714285714,0.8,"Meningitis","Meningitis","EFO 1"
"mondo0021205",1,0.00884955752212389,0,0,0.146902654867257,"Ear disorder","Other disorders of ear","EFO 1"
"mondo0024647",15,1.16487376026018,82,17.5130675526024,17.3624204939544,"ICD10 N20, N21: kidney stones (CNV duplication-only model)","Urolithiasis","EFO 4"
"mondo0041086",3,0.11304347826087,0,0,0.402995169082126,"ICD10 F41.2: Mixed anxiety and depressive disorder","Depressive disorders","EFO 5"
"mondo0042487",5,0.00576868428530833,0,0,0.243375959079284,"Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia] (PheCode 180.3)","Benign and in situ cervical and uterine neoplasms","EFO 5"
"efo0000095",21,8.51246295619697,198,139.068599033816,179.390498112288,"Chronic lymphocytic leukemia","Chronic lymphoid leukemia","EFO 1"
"efo0000183",12,7.81208135428084,112,81.8095238095238,123.631010473755,"Hodgkin's lymphoma","Hodgkin lymphoma","EFO 1"
"efo0000220",18,15.1,90,82.5,276.1055,"Acute lymphoblastic leukemia","Acute lymphoid leukemia","EFO 1"
"efo0000222",10,6.00255754475703,1749,1748.5,52.3467723785166,"Acute myeloid leukemia","Acute myeloid leukemia","EFO 1"
"efo0000274",30,16.5865279984592,424,366.349028199079,318.645497135153,"Atopic dermatitis","Contact dermatitis","EFO 2"
"efo0000275",48,28.3688218612397,971,770.728008422783,822.808904913519,"Atrial fibrillation","Atrial fibrillation and flutter","EFO 2"
"efo0000278",11,1.13868253738975,16,5.2640826873385,32.3596825282186,"ICD10 K85: Acute pancreatitis","Pancreatitis","EFO 1"
"efo0000284",17,3.01604264894364,60,24.7551020408163,19.801697635576,"Hyperplasia of prostate (Union N40)","Benign prostatic hyperplasia","EFO 1"
"efo0000318",20,2.49437253162134,2,0.571428571428571,94.7458867315042,"ICD10 I42: Cardiomyopathy","Cardiomyopathy and myocarditis","EFO 1"
"efo0000319",41,8.65093462474038,484,95.4234006734007,178.032057234435,"Cardiovascular disease","Cardiovascular diseases","EFO 1"
"efo0000326",13,10,104,59.6666666666667,146,"Glioma","Brain and central nervous system cancer","EFO 3"
"efo0000341",86,29.5349765004609,1140,835.759911406423,417.333197652493,"Chronic obstructive pulmonary disease in never smokers","Chronic obstructive pulmonary disease","EFO 1"
"efo0000389",10,3.50321113952828,300,125.834612105712,75.6646035805627,"Neuroblastoma or malignant cutaneous melanoma","Malignant skin melanoma","EFO 1"
"efo0000400",43,3.3764391367465,344,10.3178011784424,27.7884665119667,"Diabetes mellitus","Diabetes mellitus","EFO 1"
"efo0000405",27,0.486004477461114,11,3.44444444444444,12.4705195798981,"ICD10 K31: Other diseases of stomach and duodenum","Other digestive diseases","EFO 1"
"efo0000465",5,0.0992222712536925,0,0,1.63719170672221,"ICD10 I38: Endocarditis, valve unspecified","Endocarditis","EFO 1"
"efo0000540",3,2.00884955752212,21,21,15.8469026548673,"Myasthenia gravis","Endocrine, metabolic, blood, and immune disorders","EFO 10"
"efo0000565",3,0.00765958557335978,0,0,0.114996868312542,"Leukaemia of unspecified cell type (Union C95)","Leukemia","EFO 1"
"efo0000588",1,1,0,0,5.3,"Malignant mesothelioma","Mesothelioma","EFO 1"
"efo0000618",14,0.0456852434445626,0,0,1.16725256320304,"Neurological disease","Neurological disorders","EFO 2"
"efo0000660",22,15.1685990338164,95,73.9666666666667,187.691884057971,"Polycystic ovary syndrome","Polycystic ovarian syndrome","EFO 1"
"efo0000668",39,11.4920317941804,97,61.25,368.529047859791,"Preeclampsia","Maternal hypertensive disorders","EFO 2"
"efo0000676",55,22.7773873732466,817,511.984716732543,352.486947287719,"Cutaneous psoriasis","Psoriasis","EFO 1"
"efo0000685",111,46.9425405357997,2787,1632.79336347647,985.835118655661,"Rheumatoid arthritis (ACPA-positive)","Rheumatoid arthritis","EFO 1"
"efo0000701",59,4.04844400375024,12,6.66666666666667,27.3279655343141,"Severe skin toxicity response to cetuximab in stage 3 colon cancer","Skin and subcutaneous diseases","EFO 1"
"efo0000707",12,4.66987780619494,103,51.5,60.3646035805627,"Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)","Non-melanoma skin cancer (squamous-cell carcinoma)","EFO 1"
"efo0000712",72,23.422107324397,297,117.204761904762,623.457754183595,"Stroke","Stroke","EFO 1"
"efo0000713",11,0.394547873075755,2,0.00930232558139535,3.7625570895699,"ICD10 I60: Nontraumatic subarachnoid hemorrhage","Subarachnoid hemorrhage","EFO 1"
"efo0000731",22,7.29335739688528,308,122.518106312292,86.7792237562366,"Age at menarche or uterine leiomyomata (pleiotropy)","Uterine fibroids","EFO 1"
"efo0000764",3,2.25,9,3.75,22.575,"HIV progression (CD4 and viral load)","HIV/AIDS","EFO 2"
"efo0001054",11,9.5,111,101.5,268.75,"Crohn's disease or Leprosy","Leprosy","EFO 1"
"efo0001065",46,20.6186507026134,655,379.208527131783,270.654229967417,"Endometriosis","Endometriosis","EFO 1"
"efo0001068",12,9.00193236714976,158,154,194.125217391304,"Recurrence of malaria infection (mild or asymptomatic)","Malaria","EFO 1"
"efo0001365",46,28.3270363481361,420,252.727272727273,294.877113461986,"Age-related macular degeneration","Age-related macular degeneration","EFO 1"
"efo0001378",29,11.5930194198198,158,115.309523809524,231.149353947529,"Multiple myeloma","Multiple myeloma","EFO 1"
"efo0001422",23,6.27115662468451,89,33.2622144037932,107.741836368849,"ICD10 K74: Fibrosis and cirrhosis of liver","Cirrhosis and other chronic liver diseases","EFO 1"
"efo0001666",7,0.0150710098667037,7,0.0325581395348837,0.529887586986261,"Aortic aneurysm (PheCode 442.1)","Aortic aneurysm","EFO 1"
"efo0003035",20,0.128569952355119,0,0,2.92482058436023,"Cellulitis and abscess of fingers/toes (PheCode 681.1)","Cellulitis","EFO 1"
"efo0003103",16,0.627160913685142,0,0,6.92269084366056,"Urinary tract infection","Urinary tract infections and interstitial nephritis","EFO 1"
"efo0003756",36,14.4399350649351,1275,455.178787878788,169.971785714286,"Autism spectrum disorder","Autism spectrum disorders","EFO 2"
"efo0003767",47,13.0658787460091,700,227.141176470588,477.316735805519,"Inflammatory bowel disease","Inflammatory bowel disease","EFO 1"
"efo0003832",9,0.0210274721662424,0,0,0.59816550783453,"ICD10 K82: Other diseases of gallbladder","Gallbladder and biliary diseases","EFO 1"
"efo0003884",75,26.6366565916279,260,127.078349944629,268.395965084189,"Chronic kidney disease","Chronic kidney disease","EFO 1"
"efo0003888",87,45.128823953824,1916,754.733838383838,496.728452380952,"Attention deficit hyperactivity disorder symptoms (maternal expressed emotions interaction)","Attention-deficit/hyperactivity disorder","EFO 1"
"efo0003890",16,11.0131386427169,34,32.0093023255814,44.0236701956819,"Drug abuse","Drug use disorders","EFO 1"
"efo0003894",9,6.0473869126043,137,129.363636363636,71.9343083003953,"acne vulgaris","Acne vulgaris","EFO 1"
"efo0003948",33,3.73244300139537,321,91.3577871740662,51.8967708348812,"ICD10 K21: Gastro-esophageal reflux disease","Gastroesophageal reflux disease","EFO 1"
"efo0003966",37,0.220341911293182,37,6.16666666666667,4.07194256463647,"Ocular disease","Disorders of the globe","EFO 2"
"efo0004192",4,4,43,43,93.1,"Alopecia areata","Alopecia areata","EFO 1"
"efo0004193",21,11.6730889457232,600,353,171.179207161125,"Basal cell carcinoma","Non-melanoma skin cancer (basal-cell carcinoma)","EFO 1"
"efo0004216",6,3.5,73,48,35.4,"Conduct disorder (maternal expressed emotions interaction)","Conduct disorder","EFO 1"
"efo0004238",42,15.2015197659172,237,118.197962164919,112.405093321454,"Hearing impairment","Age-related and other hearing loss","EFO 2"
"efo0004239",11,4.58073089700997,29,25.5093023255814,44.336511627907,"Chronic hepatitis B infection","Chronic hepatitis B including cirrhosis","EFO 2"
"efo0004244",18,6.75636433879248,65,49.9083056478405,132.039837566978,"Subpleural-predominant interstitial lung abnormalities","Interstitial lung disease and pulmonary sarcoidosis","EFO 1"
"efo0004265",21,8.05692137320044,240,111.617940199336,88.5031782945736,"Type 2 diabetes or peripheral artery disease (MTAG)","Lower extremity peripheral arterial disease","EFO 3"
"efo0004274",54,21.2681277523329,264,216.334302891117,429.52826120563,"Gout vs. Hyperuricemia","Gout","EFO 1"
"efo0004352",47,18.5210111317254,416,242.291666666667,176.44508812616,"Breast cancer specific mortality in breast cancer","All causes","EFO 1"
"efo0004616",43,12.1444133120969,252,92.35,265.759813577605,"Knee osteoarthritis","Osteoarthritis knee","EFO 1"
"efo0004992",11,6.08719806763285,33,32.0833333333333,31.9504347826087,"Otitis media","Otitis media","EFO 1"
"efo0005045",2,1.05555555555556,1,1,30.9166666666667,"Multiple traits (pleiotropy)","Visceral leishmaniasis","EFO 1"
"efo0005046",1,1,14,14,11.8,"Cutaneous leishmaniasis","Cutaneous and mucocutaneous leishmaniasis","EFO 6"
"efo0005203",5,2.5,49,24.5,14.85,"Anorexia nervosa","Eating disorders","EFO 1"
"efo0005204",1,0.5,23,11.5,2.75,"Bulimia nervosa","Bulimia nervosa","EFO 1"
"efo0005207",7,3.33333333333333,39,15.1666666666667,41.3833333333333,"Obstructive heart defect","Congenital heart anomalies","EFO 1"
"efo0005531",9,3.345846798443,33,22.0232558139535,27.7511152084696,"ICD10 L50: Urticaria","Urticaria","EFO 1"
"efo0005549",2,0.00930232558139535,0,0,0.286511627906977,"Diphtheria","Diphtheria","EFO 1"
"efo0005570",8,1.8692242114237,39,12.7333333333333,48.9187723785166,"Oral cavity cancer","Lip and oral cavity cancer","EFO 1"
"efo0005577",3,0.509302325581395,4,2,2.28651162790698,"Oropharyngeal or hypopharyngeal squamous cell carcinoma","Other pharynx cancer","EFO 1"
"efo0005669",18,4.81121453974242,10,4.51860465116279,43.5214737562366,"Intracerebral hemorrhage","Intracerebral hemorrhage","EFO 1"
"efo0005741",12,0.753707210728334,0,0,8.75900097245516,"Other and unspecified infectious diseases (Union B99)","Other unspecified infectious diseases","EFO 2"
"efo0005952",16,1.21080374178657,31,3.89285714285714,13.253210240618,"ICD10 C85.7: Other specified types of non-Hodgkin lymphoma","Non-Hodgkin lymphoma","EFO 1"
"efo0006510",15,5.11318358039433,40,25.5093023255814,47.5438994549532,"Response to tofacitinib treatment in rheumatoid arthritis (herpes zoster)(time to event)","Varicella and herpes zoster","EFO 1"
"efo0006788",25,7.7718101733447,45,27.8333333333333,133.7531543052,"Anxiety disorders","Anxiety disorders","EFO 2"
"efo0006789",3,1.0093023255814,2,1.0046511627907,31.086511627907,"Enteric fever","Typhoid fever","EFO 1"
"efo0007067",3,0.00703440796608498,0,0,0.161441881100266,"Decubitus ulcer (Union L89)","Decubitus ulcer","EFO 1"
"efo0007149",27,5.40982876343374,26,24.1428571428571,40.6143634257369,"ICD10 K35: Acute appendicitis","Appendicitis","EFO 1"
"efo0007338",6,6,8,8,169.8,"Lassa fever susceptibility","Lassa fever","EFO 1"
"efo0008546",32,0.0327934072179596,0,0,1.86414322250639,"Toxic effect of venom (PheCode 913)","Poisonings","EFO 1"
"efo0008560",8,0.507075873827792,2,1,15.8150383631714,"Endometriosis-associated infertility","Female infertility","EFO 1"
"efo0009117",1,0.00127877237851662,0,0,0.039386189258312,"Bacterial pneumonia (PheCode 480.1)","Typhus fever","EFO 1"
"efo0009259",1,0.00127877237851662,0,0,0.039386189258312,"Cancer code, self-reported: skin cancer (UKB data field 20001_1003)","Non-melanoma skin cancer","EFO 1"
"efo0009449",3,0.00703440796608498,0,0,0.161441881100266,"ICD10 H16: Keratitis","Keratitis, corneal opacity and other disorders of cornea, disorders of conjunctiva, inflammation of eyelids, other disorders of eyelids, disorders of the lacrimal system, disorders of the orbit, disorders of optic nerve and visual pathways","EFO 1"
"efo0009550",5,0.0386162106476319,0,0,0.200828070358578,"ICD10 G44: Other headache syndromes","Headache disorders","EFO 2"
"efo0009609",3,0.509302325581395,4,2,3.68651162790698,"Myocarditis","Myocarditis","EFO 1"
"efo0009690",24,0.0499430885498895,0,0,1.43129815454774,"ICD10 N39: Other disorders of urinary system","Urinary diseases and male infertility","EFO 6"
"efo0009691",8,0.0121779146441185,0,0,0.451262852967274,"ICD10 H81: Disorders of vestibular function","Vertiginous syndromes and other disorders of vestibular system","EFO 2"
"efo0010445",6,2,10,3.33333333333333,5,"Cocaine use disorder","Cocaine use disorders","EFO 1"
"efo0010702",19,16.6,108,72.8,271.04,"Opioid use disorder (MTAG)","Opioid use disorders","EFO 1"
"efo0600095",4,3.5,25,22,14.7,"Primary dental caries (decayed and filled teeth)","Caries of deciduous teeth","EFO 1"
"efo0600096",1,0.5,6,3,0,"Permanent dental caries (decayed and filled teeth)","Caries of permanent teeth","EFO 1"
"efo1000657",13,1.39485765320621,46,7.85,14.0954316509212,"Survival in rectal cancer","Colon and rectum cancer","EFO 1"
"efo1000764",3,1.00193236714976,12,12,6.62521739130435,"Seborrheic dermatitis","Seborrhoeic dermatitis","EFO 1"
"efo1000786",31,6.0963658322354,216,74.4,200.830036231884,"Osteoarthritis of the hip or knee (with total joint replacement)","Osteoarthritis hip","EFO 1"
"efo1000787",4,0.575,5,1,25.5875,"Spine osteoarthritis","Osteoarthritis other (toe & spine osteoarthritiswere included)","EFO 3"
"efo1000789",15,7.125,51,43.125,215.1625,"Osteoarthritis of the hand","Osteoarthritis hand","EFO 1"
"efo1000802",5,3.66666666666667,20,18,63.9333333333333,"Alcohol dependence or chronic alcoholic pancreatitis or alcohol-related liver cirrhosis","Cirrhosis due to alcohol","EFO 1"
"efo1001161",5,5,23,23,93.2,"Rheumatic heart disease","Rheumatic heart disease","EFO 1"
"efo1001322",4,0.00386473429951691,0,0,0.250434782608696,"ICD10 W44: Foreign body entering into or through eye or natural orifice causing accidental injury","Foreign body in eyes","EFO 1"
"efo1001491",6,0.0131670598809123,0,0,0.536946410515672,"Abortion","Maternal abortion and miscarriage","EFO 1"
"efo1002025",4,0.00386473429951691,0,0,0.250434782608696,"Measles morbillivirus","Measles","EFO 1"
