"MAPPED_TRAIT_URI","n","weighted_n","nhits","weighted_nhits","weighted_attention_score_impact_factor","DISEASE_TRAIT","GBD term","EFO_number","Match_Type","GBD_TERM_NAME","MAPPED_TRAIT_NAME","GBD_TRAIT_URI","ATTENTION_TRAIT_URI","measure_id","measure_name","location_id","location_name","sex_id","sex_name","age_id","age_name","cause_id","metric_id","metric_name","year","DALY","upper","lower"
"mondo0004979",163,70.07930326325,2530,1367.44863157686,1503.40614061477,"Bronchial hyperresponsiveness in asthma","Asthma","EFO 2","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",515,1,"Number",2019,21550976.7969043,26971997.4232759,17141586.6093932
"mondo0004985",122,51.5709584887974,1483,565.166666666667,587.26529198636,"Bipolar disorder","Bipolar disorder","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",570,1,"Number",2019,8502426.94780648,13046630.216606,5200032.61656358
"mondo0005041",47,11.3401316895188,356,209.110472648783,152.466837652122,"ICD10 H40: Glaucoma","Glaucoma","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",670,1,"Number",2019,748307.713269591,1044667.14531096,515635.653079998
"mondo0005090",168,82.7729139514418,5079,3741.17434813249,1308.24152229104,"Cognitive ability, years of educational attainment or schizophrenia (pleiotropy)","Schizophrenia","EFO 4","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",559,1,"Number",2019,15107248.2581543,19206793.7731982,11003873.0256812
"mondo0005129",49,6.16204172038028,201,132.883610781455,62.7726763658379,"Cataract (time to event)","Cataract","EFO 4","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",671,1,"Number",2019,6676281.10859955,9006193.63241126,4761210.70351279
"mondo0005148",238,135.295524525948,5501,3478.65328770357,2269.50660605095,"Alzheimer's disease or cardiovascular risk factors (pleiotropy)","Diabetes mellitus type 2","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",976,1,"Number",2019,66299750.6198042,79005166.0710841,55477041.8622913
"mondo0005178",90,32.6181259446757,527,389.642948717949,992.99616576601,"Osteoarthritis","Osteoarthritis","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",628,1,"Number",2019,18948965.3057056,37659659.6802467,9571297.86073523
"mondo0005180",83,52.4368568144896,698,605.813223894209,855.930472479806,"Parkinson's disease","Parkinson's disease","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",544,1,"Number",2019,6292615.6089987,6827206.90789519,5769209.75450159
"mondo0005277",48,20.8180954693256,732,413.477124183007,233.975589781892,"Migraine","Migraine","EFO 3","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",547,1,"Number",2019,42077665.9014681,95645211.009629,6418383.33049908
"mondo0005301",62,30.7821906945308,774,697.911764705882,738.239193926298,"Multiple sclerosis","Multiple sclerosis","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",546,1,"Number",2019,1159831.83837878,1381870.17449862,1001179.89658367
"mondo0005351",25,8.37475218018696,253,59.9136363636364,131.974363354037,"Anorexia nervosa","Anorexia nervosa","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",573,1,"Number",2019,845189.600164057,1321417.23603921,510973.947127533
"mondo0007254",27,7.13900630080754,266,51.6712121212121,45.5138265978328,"Breast cancer","Breast cancer","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",429,1,"Number",2019,20625312.9301765,22174397.4269491,19043048.8452977
"mondo0008315",9,3.92050298380222,252,62.0884484228474,41.4848252344416,"Conversion from active surveillance to active treatment in prostate cancer","Prostate cancer","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",438,1,"Number",2019,8644870.11910868,10559866.1537931,7548020.80608267
"mondo0015926",3,0.509302325581395,3,1.5,2.03651162790698,"Pneumoconiosis in silica exposure","Pneumoconiosis","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",510,1,"Number",2019,919076.998550659,1116126.95664674,761477.616375932
"mondo0018076",36,19.4138846150234,160,116.166666666667,188.931498841168,"Tuberculosis susceptibility in HIV infection","Tuberculosis","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",297,1,"Number",2019,47030117.9290614,51378318.3093739,42813816.1496135
"mondo0021108",1,0.142857142857143,8,1.14285714285714,0.8,"Meningitis","Meningitis","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",166,"Sub-Saharan Africa",3,"Both",22,"All ages",332,1,"Number",2019,10428349.0042259,12983084.25059,8282662.12949461
"mondo0021205",1,0.00884955752212389,0,0,0.146902654867257,"Ear disorder","Other disorders of ear","EFO 1","Identifier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"mondo0024647",15,1.16487376026018,82,17.5130675526024,17.3624204939544,"ICD10 N20, N21: kidney stones (CNV duplication-only model)","Urolithiasis","EFO 4","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",596,1,"Number",2019,604308.935236273,745193.901868063,477353.500757605
"mondo0041086",3,0.11304347826087,0,0,0.402995169082126,"ICD10 F41.2: Mixed anxiety and depressive disorder","Depressive disorders","EFO 5","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",567,1,"Number",2019,46863642.0884732,63797315.2346593,32929363.0238674
"mondo0042487",5,0.00576868428530833,0,0,0.243375959079284,"Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia] (PheCode 180.3)","Benign and in situ cervical and uterine neoplasms","EFO 5","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",966,1,"Number",2019,0,0,0
"efo0000095",21,8.51246295619697,198,139.068599033816,179.390498112288,"Chronic lymphocytic leukemia","Chronic lymphoid leukemia","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",846,1,"Number",2019,948463.593063073,1065254.09698317,874196.507846704
"efo0000183",12,7.81208135428084,112,81.8095238095238,123.631010473755,"Hodgkin's lymphoma","Hodgkin lymphoma","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",484,1,"Number",2019,1145712.00902128,1324344.87009945,977314.346129237
"efo0000220",18,15.1,90,82.5,276.1055,"Acute lymphoblastic leukemia","Acute lymphoid leukemia","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",845,1,"Number",2019,2661395.36025333,3013270.47583202,2187453.69815592
"efo0000222",10,6.00255754475703,1749,1748.5,52.3467723785166,"Acute myeloid leukemia","Acute myeloid leukemia","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",847,1,"Number",2019,3060077.84229037,3374560.48360224,2770960.77455604
"efo0000274",30,16.5865279984592,424,366.349028199079,318.645497135153,"Atopic dermatitis","Contact dermatitis","EFO 2","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",978,1,"Number",2019,2275936.5341028,3396560.77616581,1431634.6666502
"efo0000275",48,28.3688218612397,971,770.728008422783,822.808904913519,"Atrial fibrillation","Atrial fibrillation and flutter","EFO 2","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",500,1,"Number",2019,8393635.00613398,10541460.9130891,6693983.72096797
"efo0000278",11,1.13868253738975,16,5.2640826873385,32.3596825282186,"ICD10 K85: Acute pancreatitis","Pancreatitis","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",535,1,"Number",2019,3641105.74029574,4026948.07638044,3282952.50830445
"efo0000284",17,3.01604264894364,60,24.7551020408163,19.801697635576,"Hyperplasia of prostate (Union N40)","Benign prostatic hyperplasia","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",597,1,"Number",2019,1861781.11660775,2782264.21287351,1127721.69671988
"efo0000318",20,2.49437253162134,2,0.571428571428571,94.7458867315042,"ICD10 I42: Cardiomyopathy","Cardiomyopathy and myocarditis","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",499,1,"Number",2019,9135764.22818589,10039921.7540283,7864970.00161575
"efo0000319",41,8.65093462474038,484,95.4234006734007,178.032057234435,"Cardiovascular disease","Cardiovascular diseases","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",491,1,"Number",2019,393107481.537395,417258195.703793,367776224.724376
"efo0000326",13,10,104,59.6666666666667,146,"Glioma","Brain and central nervous system cancer","EFO 3","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",477,1,"Number",2019,8659870.61787328,9574457.81105197,6718028.64855998
"efo0000341",86,29.5349765004609,1140,835.759911406423,417.333197652493,"Chronic obstructive pulmonary disease in never smokers","Chronic obstructive pulmonary disease","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",509,1,"Number",2019,74432366.8243746,80193347.4534211,68204126.933571
"efo0000389",10,3.50321113952828,300,125.834612105712,75.6646035805627,"Neuroblastoma or malignant cutaneous melanoma","Malignant skin melanoma","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",459,1,"Number",2019,1707846.35086438,1997465.45045289,1295584.96442265
"efo0000400",43,3.3764391367465,344,10.3178011784424,27.7884665119667,"Diabetes mellitus","Diabetes mellitus","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",587,1,"Number",2019,70880154.6789788,84174005.008237,59707574.1600366
"efo0000405",27,0.486004477461114,11,3.44444444444444,12.4705195798981,"ICD10 K31: Other diseases of stomach and duodenum","Other digestive diseases","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",541,1,"Number",2019,2501402.22246972,2799240.80716541,2124793.74061055
"efo0000465",5,0.0992222712536925,0,0,1.63719170672221,"ICD10 I38: Endocarditis, valve unspecified","Endocarditis","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",503,1,"Number",2019,1723594.01098078,1935247.16906557,1355669.17587351
"efo0000540",3,2.00884955752212,21,21,15.8469026548673,"Myasthenia gravis","Endocrine, metabolic, blood, and immune disorders","EFO 10","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",619,1,"Number",2019,22906564.1218321,29969465.0160476,17001209.2052638
"efo0000565",3,0.00765958557335978,0,0,0.114996868312542,"Leukaemia of unspecified cell type (Union C95)","Leukemia","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",487,1,"Number",2019,11657546.6853056,12700651.096235,10529142.1464296
"efo0000588",1,1,0,0,5.3,"Malignant mesothelioma","Mesothelioma","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",483,1,"Number",2019,668104.377259509,716475.482371278,608268.816515679
"efo0000618",14,0.0456852434445626,0,0,1.16725256320304,"Neurological disease","Neurological disorders","EFO 2","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",542,1,"Number",2019,97724411.7306785,159416792.554487,55942819.2557327
"efo0000660",22,15.1685990338164,95,73.9666666666667,187.691884057971,"Polycystic ovary syndrome","Polycystic ovarian syndrome","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",605,1,"Number",2019,576821.996400227,1161158.55940422,246221.535464505
"efo0000668",39,11.4920317941804,97,61.25,368.529047859791,"Preeclampsia","Maternal hypertensive disorders","EFO 2","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",369,1,"Number",2019,1823862.90800038,2077743.44511671,1591697.88695714
"efo0000676",55,22.7773873732466,817,511.984716732543,352.486947287719,"Cutaneous psoriasis","Psoriasis","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",655,1,"Number",2019,3505736.12673246,4638756.50451465,2504955.76978813
"efo0000685",111,46.9425405357997,2787,1632.79336347647,985.835118655661,"Rheumatoid arthritis (ACPA-positive)","Rheumatoid arthritis","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",627,1,"Number",2019,3262589.14147279,4091554.90312749,2510208.34625584
"efo0000701",59,4.04844400375024,12,6.66666666666667,27.3279655343141,"Severe skin toxicity response to cetuximab in stage 3 colon cancer","Skin and subcutaneous diseases","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",653,1,"Number",2019,42883695.4799368,63438210.2197532,28626691.7079401
"efo0000707",12,4.66987780619494,103,51.5,60.3646035805627,"Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)","Non-melanoma skin cancer (squamous-cell carcinoma)","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",4,"Southeast Asia, East Asia, and Oceania",3,"Both",22,"All ages",849,1,"Number",2019,430876.389414441,485759.318417851,373925.223743488
"efo0000712",72,23.422107324397,297,117.204761904762,623.457754183595,"Stroke","Stroke","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",494,1,"Number",2019,143232184.233959,153241823.725357,133095808.895021
"efo0000713",11,0.394547873075755,2,0.00930232558139535,3.7625570895699,"ICD10 I60: Nontraumatic subarachnoid hemorrhage","Subarachnoid hemorrhage","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",497,1,"Number",2019,11181414.3009001,12668877.2163136,9893414.41876042
"efo0000731",22,7.29335739688528,308,122.518106312292,86.7792237562366,"Age at menarche or uterine leiomyomata (pleiotropy)","Uterine fibroids","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",604,1,"Number",2019,1378497.87719343,2475244.62643255,710915.782651435
"efo0000764",3,2.25,9,3.75,22.575,"HIV progression (CD4 and viral load)","HIV/AIDS","EFO 2","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",298,1,"Number",2019,47632184.174404,55650039.4003885,42630989.905924
"efo0001054",11,9.5,111,101.5,268.75,"Crohn's disease or Leprosy","Leprosy","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",405,1,"Number",2019,28838.193711501,41962.5131486315,18574.8501943087
"efo0001065",46,20.6186507026134,655,379.208527131783,270.654229967417,"Endometriosis","Endometriosis","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",607,1,"Number",2019,2250033.56358283,3540205.68331011,1356637.43234441
"efo0001068",12,9.00193236714976,158,154,194.125217391304,"Recurrence of malaria infection (mild or asymptomatic)","Malaria","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",345,1,"Number",2019,46437811.1592555,80116072.4685599,23506933.4071519
"efo0001365",46,28.3270363481361,420,252.727272727273,294.877113461986,"Age-related macular degeneration","Age-related macular degeneration","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",672,1,"Number",2019,564055.096745825,789194.64073801,392930.696700717
"efo0001378",29,11.5930194198198,158,115.309523809524,231.149353947529,"Multiple myeloma","Multiple myeloma","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",486,1,"Number",2019,2497205.30873028,2722668.52545358,2190467.03803502
"efo0001422",23,6.27115662468451,89,33.2622144037932,107.741836368849,"ICD10 K74: Fibrosis and cirrhosis of liver","Cirrhosis and other chronic liver diseases","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",521,1,"Number",2019,46189415.684773,49551291.897479,43027109.2644134
"efo0001666",7,0.0150710098667037,7,0.0325581395348837,0.529887586986261,"Aortic aneurysm (PheCode 442.1)","Aortic aneurysm","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",501,1,"Number",2019,3322343.12713333,3524925.21736077,3107724.62036035
